S1 	100000 		-25000.0 	0.0    0.0 0.0  100
S2 	-100000 	25000.0 	0.0    0.0 0.0  100
0ime 50 33000	 9000	 -9.8e-05	 -9.6e-05	 50
1ime -50 37000	 -2000	 3e-05	 6.6e-05	 50
2ime 50 44000	 6000	 2e-06	 3.4e-05	 50
3ime -50 8000	 -43000	 -4.8e-05	 9.4e-05	 50
4ime 50 -41000	 -30000	 6.8e-05	 -4.6e-05	 50
5ime -50 -7000	 -27000	 -1.6e-05	 -3e-05	 50
6ime 50 19000	 -38000	 -5.4e-05	 -6e-06	 50
7ime -50 48000	 -13000	 -9e-05	 2.2e-05	 50
8ime 50 48000	 16000	 -1.6e-05	 1.2e-05	 50
9ime -50 -41000	 -14000	 -9.8e-05	 2.8e-05	 50
10ime 50 -18000	 19000	 -2e-06	 5.8e-05	 50
11ime -50 1000	 16000	 -4.4e-05	 2e-05	 50
12ime 50 22000	 25000	 3.4e-05	 9e-05	 50
13ime -50 24000	 39000	 1.8e-05	 -8e-06	 50
14ime 50 12000	 8000	 6.6e-05	 -3.6e-05	 50
15ime -50 -48000	 -3000	 4.4e-05	 3.6e-05	 50
16ime 50 49000	 -3000	 5.2e-05	 0	 50
17ime -50 19000	 -33000	 -5.8e-05	 7.2e-05	 50
18ime 50 -29000	 20000	 -5e-05	 -2e-05	 50
19ime -50 -38000	 -17000	 2.4e-05	 -3e-05	 50
20ime 50 -15000	 6000	 -4e-05	 4e-06	 50
21ime -50 43000	 -29000	 -3.8e-05	 3.8e-05	 50
22ime 50 46000	 -28000	 1.4e-05	 -1e-05	 50
23ime -50 -16000	 32000	 3.4e-05	 -1.4e-05	 50
24ime 50 47000	 15000	 -8e-05	 -4.8e-05	 50
25ime -50 -31000	 -19000	 -0.0001	 7.6e-05	 50
26ime 50 14000	 40000	 8.8e-05	 -2.4e-05	 50
27ime -50 6000	 -50000	 -2.6e-05	 8.4e-05	 50
28ime 50 23000	 -20000	 6.8e-05	 -3e-05	 50
29ime -50 22000	 5000	 1.4e-05	 -4.8e-05	 50
30ime 50 -46000	 14000	 8.2e-05	 7.4e-05	 50
31ime -50 12000	 46000	 6.6e-05	 -2e-05	 50
32ime 50 3000	 -45000	 2.6e-05	 2.4e-05	 50
33ime -50 -23000	 10000	 -8.6e-05	 6.6e-05	 50
34ime 50 43000	 -42000	 -3e-05	 -4.6e-05	 50
35ime -50 -22000	 -16000	 -8.8e-05	 2e-05	 50
36ime 50 40000	 -8000	 7.6e-05	 8e-06	 50
37ime -50 -25000	 -27000	 -0.0001	 -2.8e-05	 50
38ime 50 -49000	 -8000	 4.2e-05	 5e-05	 50
39ime -50 38000	 9000	 1.8e-05	 -7.6e-05	 50
40ime 50 -20000	 -33000	 8.8e-05	 -2.4e-05	 50
41ime -50 31000	 -21000	 -1.4e-05	 8.8e-05	 50
42ime 50 -35000	 39000	 -6.6e-05	 2.4e-05	 50
43ime -50 -34000	 23000	 9.6e-05	 -6.4e-05	 50
44ime 50 28000	 -47000	 5.2e-05	 -9.2e-05	 50
45ime -50 33000	 39000	 5.6e-05	 -9.2e-05	 50
46ime 50 34000	 -13000	 -4e-05	 -9.8e-05	 50
47ime -50 42000	 27000	 4.6e-05	 7e-05	 50
48ime 50 17000	 -27000	 -4.4e-05	 -8.6e-05	 50
49ime -50 29000	 35000	 -1.6e-05	 3e-05	 50
50ime 50 -33000	 -31000	 -6.8e-05	 7.8e-05	 50
51ime -50 8000	 -23000	 -4.8e-05	 9.8e-05	 50
52ime 50 -14000	 41000	 3.2e-05	 2.6e-05	 50
53ime -50 12000	 -28000	 -4.8e-05	 -4e-05	 50
54ime 50 -23000	 39000	 5.8e-05	 -6.6e-05	 50
55ime -50 -28000	 -46000	 -0.0001	 -2.4e-05	 50
56ime 50 11000	 25000	 -6.8e-05	 4e-05	 50
57ime -50 3000	 5000	 -1.2e-05	 2e-06	 50
58ime 50 -4000	 46000	 -5.2e-05	 -5e-05	 50
59ime -50 8000	 1000	 2e-06	 -8.6e-05	 50
60ime 50 -40000	 39000	 -7e-05	 1.8e-05	 50
61ime -50 -30000	 43000	 -9e-05	 7.4e-05	 50
62ime 50 13000	 41000	 7.2e-05	 -7.6e-05	 50
63ime -50 -18000	 -26000	 4.8e-05	 -3.6e-05	 50
64ime 50 -36000	 -31000	 3.2e-05	 -6.6e-05	 50
65ime -50 15000	 -9000	 -6.8e-05	 -4.2e-05	 50
66ime 50 47000	 40000	 8e-06	 -9.6e-05	 50
67ime -50 25000	 -32000	 -8.8e-05	 5.6e-05	 50
68ime 50 -2000	 22000	 3.6e-05	 4.4e-05	 50
69ime -50 -30000	 20000	 -1.8e-05	 3e-05	 50
70ime 50 -7000	 -15000	 8.4e-05	 6e-06	 50
71ime -50 22000	 -15000	 2e-06	 5e-05	 50
72ime 50 20000	 28000	 -0.0001	 1.8e-05	 50
73ime -50 42000	 4000	 7.6e-05	 -3.8e-05	 50
74ime 50 -16000	 33000	 -4.8e-05	 -1.2e-05	 50
75ime -50 -19000	 35000	 6e-05	 4.4e-05	 50
76ime 50 29000	 -37000	 6e-06	 -2.2e-05	 50
77ime -50 12000	 26000	 6.8e-05	 6.8e-05	 50
78ime 50 -34000	 -19000	 -2e-05	 -8.8e-05	 50
79ime -50 17000	 -13000	 -8e-05	 4e-06	 50
80ime 50 13000	 30000	 7e-05	 -7.8e-05	 50
81ime -50 -27000	 -18000	 4.4e-05	 9e-05	 50
82ime 50 -18000	 -12000	 3e-05	 -0.0001	 50
83ime -50 -50000	 -38000	 -8.6e-05	 -8.6e-05	 50
84ime 50 -35000	 43000	 -6.8e-05	 -3.4e-05	 50
85ime -50 45000	 -40000	 -5.8e-05	 0	 50
86ime 50 -23000	 41000	 -4e-06	 -2e-05	 50
87ime -50 35000	 -5000	 2.4e-05	 -8e-06	 50
88ime 50 -50000	 32000	 2.2e-05	 2.8e-05	 50
89ime -50 27000	 -3000	 2.4e-05	 -2e-05	 50
90ime 50 48000	 -48000	 3.4e-05	 -9.4e-05	 50
91ime -50 -38000	 -28000	 1.2e-05	 -8.6e-05	 50
92ime 50 6000	 -16000	 -1.6e-05	 3.4e-05	 50
93ime -50 34000	 -45000	 -9.8e-05	 -1.4e-05	 50
94ime 50 -17000	 -36000	 -5.6e-05	 -9.8e-05	 50
95ime -50 23000	 -4000	 1.2e-05	 7.6e-05	 50
96ime 50 -3000	 42000	 7e-05	 8e-05	 50
97ime -50 12000	 -8000	 0	 -1e-05	 50
98ime 50 49000	 -32000	 2e-05	 1.2e-05	 50
99ime -50 -16000	 32000	 -9.2e-05	 -7.2e-05	 50
100ime 50 26000	 15000	 -2.6e-05	 -5.6e-05	 50
101ime -50 -2000	 -20000	 -1.4e-05	 9.8e-05	 50
102ime 50 28000	 -3000	 -2e-06	 -1e-05	 50
103ime -50 18000	 -41000	 9.8e-05	 -2e-06	 50
104ime 50 -24000	 15000	 -2e-06	 -4e-05	 50
105ime -50 30000	 38000	 -8.2e-05	 7.6e-05	 50
106ime 50 49000	 37000	 8.6e-05	 -3.4e-05	 50
107ime -50 45000	 27000	 6.8e-05	 3.4e-05	 50
108ime 50 38000	 3000	 -1.8e-05	 -4.6e-05	 50
109ime -50 -19000	 24000	 8.4e-05	 6.8e-05	 50
110ime 50 22000	 -18000	 -4.6e-05	 7.8e-05	 50
111ime -50 -33000	 9000	 9.4e-05	 5.2e-05	 50
112ime 50 46000	 -31000	 5.4e-05	 9e-05	 50
113ime -50 9000	 -43000	 -4e-05	 -4.6e-05	 50
114ime 50 39000	 -6000	 -5.6e-05	 -6.2e-05	 50
115ime -50 20000	 41000	 -4.6e-05	 -7e-05	 50
116ime 50 37000	 31000	 7.4e-05	 5.8e-05	 50
117ime -50 -25000	 24000	 3e-05	 2.4e-05	 50
118ime 50 -41000	 13000	 4.4e-05	 1.2e-05	 50
119ime -50 13000	 25000	 -3.8e-05	 -3.4e-05	 50
120ime 50 -6000	 -13000	 8.6e-05	 8.8e-05	 50
121ime -50 27000	 -26000	 -6e-05	 3.8e-05	 50
